Number,Name,Pos,GP,ATT,YDS,Avg YDS,Rush YPGA,TD,Long,FUM
6,Darius Prince,WR,12,2,-4,-2,-0.3,0,0,0
47,Nick Haag,JLB,10,1,0,0,0,0,0,1
12,Warren Smith Jr,QB,9,1,0,0,0,0,0,1
45,Jimmie Goodloe,OL,9,1,3,3,0.3,0,3,0
13,Marquel Wade,DB,9,1,3,3,0.3,0,3,0
92,Calvin Fance,DL,12,18,75,4,6.3,3,17,2
4,Trevon Shorts,MLB,10,26,122,5,12.2,4,23,0
10,Sam Castronova,QB,11,41,226,6,20.5,15,26,1
