Number,Name,Pos,GP,ATT,YDS,Avg YDS,Rush YPGA,TD,Long,FUM
21,Darien Townsend,WR,12,2,-1,-1,-0.1,1,1,0
15,Mason Espinosa,QB,2,3,-4,-1,-2,2,1,2
17,Charles Mcclain,WR,5,2,-5,-3,-1,0,0,0
92,Dominick Davenport,DL,12,0,0,0,0,0,0,2
2,Ken Washington,DL,12,1,2,2,0.2,0,2,0
14,Daniel Smith,QB,7,2,6,3,0.9,0,4,2
7,Jeff Branch,MLB,2,4,8,2,4,1,9,0
93,Corey Crawford,DL,3,4,10,3,3.3,0,4,0
1,Jarmon Fortson,WR,12,5,12,2,1,3,7,1
10,Kerry Starks,MLB,11,20,94,5,8.5,2,20,1
