"#","Name","Pos","GP","PR","PR YDS","PR Avg YDS","PR TD","PR Long","KR","KR YDS","KR Avg YDS","KR TD","KR Long"
"5","Rodney Hall Jr.","DB","12","0","0","0","0","0","0","0","0","1","0"
"31","Maurice Leggett","ATH","7","0","0","0","0","0","1","30","30","0","30"
"12","Desmond Reece","WR","12","0","0","0","0","0","2","27","13","0","27"
"17","Charles Mcclain","WR","5","0","0","0","0","0","3","73","24","0","43"
"21","Darien Townsend","WR","12","0","0","0","0","0","18","472","26","3","57"

