Number,Name,Pos,GP,ATT,YDS,Avg YDS,Rush YPGA,TD,Long,FUM
13,Rob Jones,ATH,10,2,-2,-1,-0.2,0,5,0
33,Nicklas Grant,DL,4,1,3,3,0.8,0,3,0
6,Kamrin Solomon,ATH,8,5,7,1,0.9,4,2,0
5,Nyqwan Murray,WR,14,3,7,2,0.5,0,4,0
2,Miles Kelly,ATH,14,7,19,3,1.4,0,6,0
17,Quayvon Hicks,ATH,14,11,23,2,1.6,1,2,0
9,Chei Hill,DL,13,22,71,3,5.5,5,21,0
18,Anthony Johnson,ATH,14,30,87,3,6.2,4,8,1
7,Arvell Nelson,QB,9,35,131,4,14.6,9,23,1
