Number,Name,Pos,GP,PR,PR YDS,PR Avg YDS,PR TD,PR Long,KR,KR YDS,KR Avg YDS,KR TD,KR Long
20,Keiron Jones,DB,9,0,0,0,0,0,1,12,12,0,0
15,Milton Williams,WR,5,0,0,0,0,0,1,10,10,0,10
17,Quayvon Hicks,ATH,14,0,0,0,0,0,1,9,9,1,9
40,Seyvon Lowry,DL,11,0,0,0,0,0,1,1,1,0,1
6,Kamrin Solomon,ATH,8,0,0,0,0,0,7,201,28,0,52
5,Nyqwan Murray,WR,14,0,0,0,0,0,12,331,27,1,55
13,Rob Jones,ATH,10,0,0,0,0,0,14,361,25,0,49
