Number,Name,Pos,GP,ATT,YDS,Avg YDS,Rush YPGA,TD,Long,FUM
9,Lonnie Outlaw,WR,11,1,-1,-1,-0.1,0,0,0
1,Daron Clark Jr.,WR,9,1,-2,-2,-0.2,0,2,0
70,Dequan Murray,OL,11,0,0,0,0,0,0,2
10,Matt Parsons,QB,3,5,3,1,1,1,3,0
3,Jabari Dunham,QB,3,1,5,5,1.7,0,5,0
7,Freddie Booth,FB,11,2,8,4,0.7,0,7,1
15,Richy ANDerson,WR,7,3,8,3,1.1,1,4,0
11,Clarence Williams,WR,11,7,27,4,2.5,2,11,0
17,Kewan Alfred,FB,10,15,45,3,4.5,2,19,0
32,Darius Meadors,QB,12,15,47,3,3.9,0,6,1
