Number,Name,Pos,GP,PR,PR YDS,PR Avg YDS,PR TD,PR Long,KR,KR YDS,KR Avg YDS,KR TD,KR Long
15,Richy ANDerson,WR,7,0,0,0,0,0,1,7,7,0,7
9,Lonnie Outlaw,WR,11,0,0,0,0,0,2,0,0,0,0
1,Daron Clark Jr.,WR,9,0,0,0,0,0,4,62,15,0,19
22,Caleb Walls,WR,10,0,0,0,0,0,6,81,13,0,31
11,Clarence Williams,WR,11,0,0,0,0,0,11,182,16,0,17
