Number,Name,Pos,GP,ATT,YDS,Avg YDS,Rush YPGA,TD,Long,FUM
19,Ladarian Mcfarland,WR,5,2,-1,-1,-0.2,0,2,0
18,Neiko Creamer,WR,12,1,-7,-7,-0.6,0,0,0
4,Anthony Robinson,WR,9,4,0,0,0,0,4,0
5,Kali Rashaad,WR,12,1,1,1,0.1,0,1,0
83,Niko Thomas,WR,10,2,3,2,0.3,0,2,0
16,Rahsad Payne,RB,7,4,8,2,1.1,2,6,0
0,Tre Harlan,OL,7,7,12,2,1.7,0,10,1
12,Robert Kent,QB,11,17,69,4,6.3,6,23,3
11,Pierre Turner,DL,12,55,79,1,6.6,10,13,1
