Number,Name,Pos,GP,PR,PR YDS,PR Avg YDS,PR TD,PR Long,KR,KR YDS,KR Avg YDS,KR TD,KR Long
68,Dontae Angus,OL,4,0,0,0,0,0,1,1,1,0,1
18,Neiko Creamer,WR,12,0,0,0,0,0,1,8,8,0,8
21,Erick Mcintosh,ATH,5,0,0,0,0,0,3,49,16,1,40
10,Phillip Barnett,WR,8,0,0,0,0,0,3,1,0,0,1
5,Kali Rashaad,WR,12,0,0,0,0,0,16,454,28,2,44
